about	round	around
on	over	about
have gone to abroad	have gone abroad
in average	on average
middle	centre	center
centre	middle
center	middle
in midnight	at midnight
in the middle of the night	at midnight
might	could
["make" "mile"]	["do" "mile"]
["mile" "make"]	["mile" "do"]
["kilometre" "make"]	["kilometre" "do"]
["kilometer" "make"]	["kilometer" "do"]
milk	carton of milk
a lot of milk	much milk
mince	mincement
in my mind	to my mind
minute	just a minute
miscarriage	misdelivery	wrong delivery
have a misdelivery	have a miscarriage
lose the baby	have a miscarriage
miser	means	stingy
poor	miserable	wretched
fail	miss
["it" "makes fog"]	["we" "have fog"]
["do" "mistake"]	["make" "mistake"]
["mistake" "do"]	["mistake" "make"]
["do" "error"]	["make" "error"]
["error" "do"]	["error" "make"]
["from" "mistake"]	["by" "mistake"]
["in" "mistake"]	["by" "mistake"]
["by" "error"]	["in" "error"]
mistake	wrong number
you've made a mistake	wrong number
mock	make fun of
mode	fashion
["fashion of" "life"]	["mode of" "life"]
out of fashion	old-fashioned
humble	modest
molest	disturb
derange	disturb
perturb	disturb
moment	just a moment
money	note	coin
["do" "money"]	["make" "money"]	["earn" "money"]
["money" "do"]	["money" "make"]	["money" "earn"]
["gain" "money"]	["make" "money"]	["earn" "money"]
["money" "gain"]	["money" "make"]	["money" "earn"]
["win" "money"]	["make" "money"]	["earn" "money"]
["money" "win"]	["money" "make"]	["money" "earn"]
money	change
montage	assembly
monument	sight
memorial	sight
make sights	do sights
["make" "sight"]	["see" "sight"]
["sight" "make"]	["sight" "do"]
["sight" "make"]	["sight" "see"]
moody of	brave of	courageous of
courageous from	brave of	courageous of
moral	morale
ethic	morale
moral	ethic
morale	ethic
most of	most	mostly
most	most of
["do" "move"]	["make" "move"]
movement	traffic
motion	traffic
movement	business
motion	business
Mr	Sir
Mrs	Madam
lady	Madam
["what price" "be"]	["how much" "be"]
["what price" "have"]	["how much" "be"]
["what it" "make"]	["how much" "be"]
has	's
very	much	far	a lot
much	very
far	very
a lot	very
n't far good	n't much good	n't very good
n't a lot good	n't much good	n't very good
a lot prefer	much prefer	far prefer
very prefer	much prefer	far prefer
much more	much	very much
music	musician
must to	must
must	had to
must to	had to
ought to	must
["will" "must"]	["will" "have to"]
["will" "must to"]	["will" "have to"]
["must" "have"]	["should" "have"]
must have	ought to have
shouldn't to	shouldn't
oughtn't	oughtn't to
oughtn't to	mustn't
mustn't to	mustn't
haven't to	mustn't
mustn't to be	can't be
mutton	sheep
sheep	lamb	mutton
["how's" "called"]	["what's" "called"]
what's I named	what's my name
what's we named	what's our name
what's your named	what's your name
what's it named	what's its name
what's her named	what's her name
what's his named	what's his name
what's their named	what's their name
["do" "nap"]	["have" "nap"]	["take" "nap"]
["nap" "do"]	["nap" "have"]	["nap" "take"]
["make" "nap"]	["have" "nap"]	["take" "nap"]
["nap" "do"]	["nap" "have"]	["nap" "take"]
native	local
natural	physical
close	close to	near
nearly	near
closely	lose
neat	net
clean	net
clear	net
neat	net
clean	net
clear	net
do a clear profit	make a clear profit
make a neat profit	make a net profit
make a clean profit	make a clear profit
neat	clean
clean	clear
need	need to
["need" "to"]	need
need	need to
["it" "need"]	["it" "take"]
have nerve	get a nerve	annoy
nervous	irritable	irritated	tense
nervous with	nervous of
["can't" "never"]	["can" "never"]
new	young
news	piece of news
next	nearest	next door
next door to	next to
next	next to
["nice" "with"]	["nice" "to"]
night	at night	during the night
at night	in the evening	tonight
["see" "nightmare"]	["have" "nightmare"]
["nightmare" "see"]	["nightmare" "have"]
["dream" "nightmare"]	["have" "nightmare"]
["nightmare" "dream"]	["nightmare" "have"]
there's no	there isn't any
there's not any	there isn't any
there's no any	there isn't any
there are no	there aren't any
there are no any	there aren't any
there are not any	there aren't any
noble	polite
noble from	noble of
["do" "noise"]	["make" "noise"]
["noise" "do"]	["noise" "make"]
nonsense	a piece of nonsense	a bit of nonsense
nostalgic	homesick
be nostalgic for	miss
["be nostalgic" "for"]	["long" "for"]
be nostalgic to see	long to visit
notable	remarkable
mark	note down
nothing	anything
["notice" "to"]	notice
notice	remark	observe
remark	notice	observe
notice	placard
cartel	placard
placard	notice
sign	notice
cartel	notice
notice	sign
placard	sign
cartel	sign
novel	set book	short story
trouble	nuisance	pest
pest	nuisance
nurse	nanny
nursery	kindergarten	nursery school
baby school	kindergarten	nursery school
nylon	carrier bag
occasion	bargain	good buy	second-hand	opportunity
occupation	job
profession	job	occupation
job	profession
occupation	profession
of	by	off
's	[""]
of course	yes, it is
indeed	yes, it is
offered	on offer
office	agency
officer	office worker
officious	unofficial
obliging	unofficial
officious	obliging
often	several times
["in" "old time"]	["in" "old days"]	["in" "olden times"]
out of doors	outside
outside of	outside
["tap" "open"]	["tap" "on"]
["light" "alight"]	["light" "on"]
on	open
open	["turn" "on"]
["opportunity" "of"]	["chance" "of"]
["lose" "opportunity"]	["miss" "opportunity"]
["opportunity" "lose"]	["opportunity" "miss"]
oppose	opposed to
opposed	opposed to
oppose to	oppose
opposite from	opposite
opposite of	opposite
organism	body	the system
body	constitution
system	constitution
organism	constitution
organization	organism
organize to	arrange to
other	next
out	out of
["out" "from"]	["out" "of"]
out	out of
out of	outside
outside of	outside
above	over
on top of	over	above
over	above
over	on top of	above
too cooked	overdone
overlook	look over
oversee	look over
look over	overlook
oversee	overlook
surpass	overtake
packet	parcel
bundle	parcel
parcel	packet
packet	bundle
parcel	bundle
pacify	calm down
calm	calm down
["calm" "down"]	pacify
pain	are in awful pain	're in awful pain
don't pain	are out of pain	're out of pain
["make" "pain"]	["have" "pain"]
["have" "ache"]	["have" "pain"]
["have" "hurt"]	["have" "pain"]
Papa	Pope
paper	piece of paper	sheet of paper
parent	relative	relation
["relation" "with"]	["relationship" "with"]
["relative" "with"]	["relationship" "with"]
["relationship" "to"]	["relationship" "with"]
parking	parking space	any parking	car park
part	depart
["place" "of"]	["part" "of"]
["part" "in"]	["place" "in"]
for my side	for my part
for our side	for our part
for your side	for your part
for its side	for its part
for her side	for her part
for his side	for his part
for their side	for their  part
from my side	for my part
from our side	for our part
from your side	for your part
from its side	for its part
from her side	for her part
from his side	for his part
from their side	for their  part
participate	share
participate in	share
take part	share
take part in	share
share	participate in	take part in
["particular" "lesson"]	["private" "lesson"]
["do" "party"]	["give" "party"]	["have" "party"]
["make" "party"]	["give" "party"]	["have" "party"]
pass	cross	pass
["pass" "from"]	["pass" "by"]
it's passed	it's
pass	happen	sieve
filter	sieve
pass	filter
sieve	filter
["pass" "time"]	["spend" "time"]
["passion" "for"]	["affection" "for"]
pathetic loss	operating loss
passive loss	operating loss
pathos	passion
patron	owner	manager	boss	pattern
pause	stop
["pay" "more expensive"]	["pay" "more"]
peasant life	country life
["per" "hour"]	["for" "hour"]
do a perm	have a perm
make a perm	have a perm
permit	licence	license
permission	licence	license	permit	leave
in person	personally
perspective	prospect
view	prospect
perspective	view
philology	literature
photograph	photographer	photography
physician	physicist
medicine	physician	doctor
pick	peck
sting	peck
prick	peck
pinch	peck
pick	sting
peck	sting
prick	sting
pinch	sting
pick	bite
peck	bite
prick	bite
pinch	bite
peck	prick
sting	prick
pinch	prick
pick	prick
peck	pinch
sting	pinch
prick	pinch
pick	["pick" "up"]
["pick" "up"]	pick
cut	pick
["pick" "up"]	pick
pick	["pick" "out"]
["pick" "up"]	["pick" "out"]
pick-up	record player
["do" "picnic"]	["have" "picnic"]
["make" "picnic"]	["have" "picnic"]
piece	piece of
bit	bit of
piece	each	work of art
piece of art	work of art	piece
work of music	piece of music	work	piece
pig	pork
hog	pork
pork	pig
pinch	safety pin
needle	safety pin	pin
pinch	needle
pipe	inner tube
piquant	hot
pity	sorrow
pain	sorrow
sorrow	pity
pity	pain
["take" "pity for"]	["take" "pity on"]
["take" "pity with"]	["take" "pity on"]
place	job	position
position	place
place	room	space
space	room
place	space
room	space
place	seat	ticket
["with" "plane"]	["by" "plane"]
plaque	record
plate	record
plaque	plate
play	game	match
match of	game of	["" "game"]	["" "match"]
["play" "with"]	["play" "for"]
beg to	beg
ask to	ask
please	beg	ask
beg that I should	beg me to
beg that we should	beg us to
beg that you should	beg you to
beg that it should	beg it to
beg that she should	beg her to
beg that he should	beg him to
beg that they should	beg them to
please	thank you
it's nothing	that's ok	not at all	don't mention it	it's a pleasure
["pleased" "from"]	["pleased" "with"]
["pleased" "of"]	["pleased" "with"]
a lot of	a lot
["n't" "plenty of"]	["n't" "a lot of"]
["not" "plenty of"]	["not" "a lot of"]
poetry	poem
point	stitch
police	policeman
polish	shine
pool	lake
pond	lake
pool	pond
pond	pool
lake	pool
you poor	you poor thing	the poor girl	the poor boy
portfolio	wallet	purse
purse	handbag
with the post	by post
in the post	by post
practicable	practical
["tell" "prayer"]	["say" "prayer"]
["make" "prayer"]	["say" "prayer"]
precise	accurate
exact	accurate
punctual	accurate
exact	punctual	accurate
accurate	exact	precise
punctual	exact	precise
like	prefer
["prefer" "than"]	["prefer" "to"]	["prefer" "rather than"]
["prefer" "from"]	["prefer" "to"]	["prefer" "rather than"]
["prefer to" "than"]	["prefer to" "rather than"]	["prefer to" "rather than to"]
I'd prefer	I'd prefer that
we'd prefer	we'd prefer that
I'd prefer	I'd prefer to
we'd prefer	we'd prefer to
premium	prize	award
award with a prize	award a prize
["prize" "award with"]	["prize" "award"]
preoccupy	worry	upset
prescription	recipe
receipt	recipe
recipe	prescription	receipt
presents	those present
at present	presently
just now	presently
preservative	condom
prophylactic	condom	contraceptive
press	squeeze	ring
prevent from	avoid
avoid from	avoid
avoid	prevent
priceless	valueless	worthless
["it's" "probable to"]	["it's" "likely to"]	["it's" "likely that it will"]
["it is" "probable to"]	["it is" "likely to"]
["it was" "probable to"]	["it was" "likely to"]
["is it" "probable to"]	["is it" "likely to"]
was it probable to	was it likely to
likely	probably
proceed	precede
advance	precede
produce	production
professor	teacher
profile	tread
["do" "profit"]	["make" "profit"]
["profit" "do"]	["profit" "make"]
["with" "profit"]	["at" "profit"]
channel	programme	program
programme	syllabus
program	syllabus
curriculum	syllabus
["do" "progress"]	["make" "progress"]
["progress" "do"]	["progress" "make"]
gradual	progressive
["do" "promise"]	["make" "promise"]
["promise" "do"]	["promise" "make"]
promise to me	promise me to be
promise to us	promise us to be
promise to you	promise you to be
promise to it	promise it to be
promise to her	promise him to be
promise to him	promise her to be
promise to them	promise them to be
what do you say	what do you call
how do you say	what do you call
proof	receipt
["proof" "for"]	["proof" "of"]
my proper	my own
our proper	our own
your proper	your own
its proper	its own
her proper	her own
his proper	his own
their proper	their own
my own one	my own
our own one	our own
your own one	your own
its own one	its own
her own one	her own
his own one	his own
their own one	their own
propose	suggest
propose me to	propose I	propose that I
propose us to	propose we	propose that we
propose you to	propose you	propose that you
propose it to	propose it	propose that it
propose her to	propose she	propose that she
propose him to	propose he	propose that he
propose them to	propose they	propose that they
suggest me to	suggest I	suggest that I
suggest us to	suggest we	suggest that we
suggest you to	suggest you	suggest that you
suggest it to	suggest it	suggest that it
suggest her to	suggest she	suggest that she
suggest him to	suggest he	suggest that he
suggest them to	suggest they	suggest that they
prospect	prospectus
brochure	prospectus
prospectus	brochure
prospect	brochure
["complain" "for"]	["complain" "about"]
["complain" "of"]	["complain" "about"]
complain	protest
object	protest
protocol	application	sheet of paper
["proud" "for"]	["proud" "of"]
["proud" "with"]	["proud" "of"]
["take" "pride for"]	["take" "pride in"]
["take" "pride of"]	["take" "pride in"]
["take pride" "for"]	["take pride" "in"]
["take pride" "of"]	["take pride" "in"]
prove	test
try	test
try on	test
prove	try
test	try
try on	try
experiment	try	try on
prove	try on
prune	plum
damask	plum
publicity	advertising
propaganda	advertising
advertising	publicity
propaganda	publicity
pudding	caramel custard	flan	blancmange
puree	mashed potato	mash
keep	put
["put" "table"]	["lay" "table"]	["set" "table"]
["table" "put"]	["table" "lay"]	["table" "set"]
["prepare" "table"]	["lay" "table"]	["set" "table"]
["table" "prepare"]	["table" "lay"]	["table" "set"]
put	put in	add
["putting" "on"]	["dressed" "in"]
putting on	wearing
getting dressed	dressed in	wearing
wear	["put" "on"]
["dress" "in"]	["put" "on"]
["get dressed" "in"]	["put" "on"]
["have" "on"]	["put" "on"]
["do" "quarrel"]	["have" "quarrel"]
["quarrel" "do"]	["quarrel" "have"]
["do" "fight"]	["have" "fight"]
["fight" "do"]	["fight" "have"]
["do" "argument"]	["have" "argument"]
["argument" "do"]	["argument" "have"]
["do" "question"]	["ask" "question"]
["question" "do"]	["question" "ask"]
["make" "question"]	["ask" "question"]	["answer" "question"]	["do" "question"]
["question" "make"]	["question" "ask"]	["question" "answer"]	["question" "do"]
question	affair	matter
affair	matter	question
["do you" "have a problem"]	["what's" "the matter"]	["what is" "the matter"]
do you have a problem	is something the matter
matter	problem
quick	quickly
peaceful	calm	quiet
quiet	calm	peaceful
calm	quiet	peaceful
slowly	quietly
slowly slowly	quietly
slowly	gradually
slowly slowly	gradually
raise	rise
pay raise	pay rise
raise	rise
rouse	rise
["rise" "hand"]	["raise" "hand"]
["hand" "rise"]	["hand" "raise"]
["rouse" "hand"]	["raise" "hand"]
["hand" "rouse"]	["hand" "raise"]
["rise" "price"]	["raise" "price"]
["price" "rise"]	["price" "raise"]
["rouse" "price"]	["raise" "price"]
["price" "rouse"]	["price" "raise"]
rise	rouse
arouse	rouse
rouse	arouse
raise	arouse
rise	arouse
raised	risen
["risen" "price"]	["raised" "price"]
["price" "risen"]	["price" "raised"]
raise	rise
rose	raised
raisin	grape
currant	grape
sultana	grape
scarce	unusual	rare
["by" "rate"]	["on" "instalments"]	["on" "installments"]
["rather to" "than"]	["rather" "than"]
["sooner to" "than"]	["sooner" "than"]
reach to	reach
reach in	reach
arrive to	reach
rich	reach
reach to	reach
arrive at	reach
arrive at	reach
arrive at it	reach
I'm arriving	I'm coming
ready	get ready
ready clothing	ready-to-wear clothing
ready clothes	ready-to-wear clothing
true	real	genuine
real	true	genuine
realize	bring about
receive	take	get
obtain	take	get
take	receive	get
obtain	receive	get
reckoning	bill
reclaim	advertise	advertisement	complain
recommend	register
["refuse" "knowledge"]	["deny" "knowledge"]
["knowledge" "refuse"]	["knowledge" "deny"]
deny	refuse
regard	look at
["look" "on"]	["look" "at"]
["doing" "diet"]	["on" "diet"]
["doing" "regime"]	["on" "diet"]
["making" "diet"]	["on" "diet"]
["making" "regime"]	["on" "diet"]
["in" "diet"]	["on" "diet"]
["do" "diet"]	["go on" "diet"]
["diet" "do"]	["diet" "go on"]
["do" "regime"]	["go on" "diet"]
["regime" "do"]	["diet" "go on"]
["make" "diet"]	["go on" "diet"]
["diet" "make"]	["diet" "go on"]
["make" "regime"]	["go on" "diet"]
["regime" "make"]	["diet" "go on"]
register	index
["register" "of"]	["index" "to"]
index of	register of
index	address book
register	address book
reign	govern
rejuvenate	restore
["related" "with"]	["related" "to"]
relax	restore
["make" "rest"]	["have" "rest"]
["do" "rest"]	["have" "rest"]
relief	rendering
["rely" "from"]	["rely" "on"]
["rely" "to"]	["rely" "on"]
remark	observation
note	observation
remember	["remember" "to"]
remember me to	give my regards to
remember us to	give our regards to
remember us to	memory
souvenir	memory
memory	remembrance
souvenir	remembrance
remind	remember
reminisce	remember
remember	["remind" "of"]	["make" "remember"]
remind	["remind" "of"]	["make" "remember"]
remember	remind
remind	reminisce about
rent	income
reparation	repair
repeat	recur	repeat itself	repeat themselves
recur	repeat itself	repeat themselves
repeat	repeat itself	repeat themselves
recur	repeat myself	repeat ourselves	repeat yourself	repeat yourselves	repeat itself	repeat herself	repeat himself	repeat themselves
repeat	rehearse
["report" "for"]	["report" "on"]
report	reference
certificate	reference
reference	report
certificate	report
diploma	certificate
reportage	report	piece of reportage
democracy	republic
["do" "request"]	["make" "request"]
["request" "do"]	["request" "make"]
["it is requested that" "to"]	["" "am requested to"]	["" "are requested to"]
["it is required that" "to"]	["" "am required to"]	["" "are required to"]
rescue	save
["make" "research"]	["carry out" "research"]	["do" "research"]
answer to	answer
reply	reply to
respond	respond to
["answer" "to"]	["respond" "to"]	["reply" "to"]
rest	leftover
reminder	leftover
["rests" "of"]	["remains" "of"]
["remainders" "of"]	["remains" "of"]
["leftovers" "of"]	["remains" "of"]
rest	remain	stay	stay	remain
remain	restore
stay	rest
rest	change
resume	summarize
revenge	avenge
avenge myself on	revenge myself on
avenge ourselves on on	revenge ourselves on on
avenge yourself on	revenge yourself on
avenge yourselves on	revenge yourselves on
avenge itself on	revenge itself on
avenge herself on	revenge herself on
avenge himself on	revenge himself on
avenge themselves on	revenge themselves on
avenge myself for	revenge myself for
avenge ourselves on for	revenge ourselves on for
avenge yourself for	revenge yourself for
avenge yourselves for	revenge yourselves for
avenge itself for	revenge itself for
avenge herself for	revenge herself for
avenge himself for	revenge himself for
avenge themselves for	revenge themselves for
revise	audit
review	audit
overhaul	audit
revise	overhaul
review	overhaul
["at such" "rhythm"]	["at such" "rate"]	["at such" "pace"]
rhythm	pace	rate
rich	rich woman	rich man	rich people
["do" "ride"]	["go for" "ride"]	["go on" "ride"]
["make" "ride"]	["go for" "ride"]	["go on" "ride"]
drive	ride
you have right	you're right	you are right
you have reason	you're right	you are right
["right" "for"]	["right" "about"]
["make" "right"]	["do" "right"]
["think" "rightly"]	["think" "right"]
right	rightly
["do" "ring"]	["give" "ring"]
["do" "call"]	["give" "call"]
["give" "telephone"]	["give" "ring"]	["give" "call"]
["give" "phone"]	["give" "ring"]	["give" "call"]
rob	steal
["steal" "of"]	["rob" "of"]
steal	rob
burgle	rob
rob	burgle
steal	burgle
robe	dress
dressing gown	dress
roll	wrap	["wrap" "up"]
["roll" "up"]	roll
romance	novel
roman	novel
novella	soap opera	soap
rooms to let	bed and breakfast
rooms	bed and breakfast
rooms free	bed and breakfast
round of	round
round from	round
around	round
route	road
way	road
road	way
route	way
routine	red tape
row	line	queue
tail	line	queue
row	queue
tail	queue
queue	tail
line	row
row	turn
["do" "rule"]	["make" "rule"]
["rule" "do"]	["rule" "make"]
["with" "rule"]	["according to" "rule"]
run so fast	drive so fast	walk so fast
["run" "by"]	["run" "on"]
["run" "with"]	["run" "on"]
sack	bag	school bag
sacred	holy
["sad" "for"]	["sad" "about"]
["sorry" "for"]	["sad" "about"]
["sorrowful" "about"]	["sad" "about"]
sorrowful to hear	sad to hear
["sorrowful" "to hear"]	["sorry" "to hear"]
I'm sad for	I'm sorry for
["I'm" "sad for"]	["I'm" "sorry for"]
["I'm" "sad to"]	["I'm" "sorry to"]
sorry	sorrowful	sad
safety	insurance	security
insurance	safety	security
security	safety	seat
insurance	safety	seat
safety	security
insurance	security
salad	lettuce
green	lettuce
on sale	for sale
to sell	for sale	on sale
for sale	to sell
on sale	to sell
salon	living room	drawing room
saloon	living room	drawing room
living	living room	drawing room
salon	hall
saloon	hall	salon
salute	greet	welcome
["salute" "to"]	["wave" "to"]
["same" "with"]	["same" "ike"]	["same" "as"]
sane	healthy
["satisfied" "from"]	["satisfied" "with"]
["satisfied" "of"]	["satisfied" "with"]
sauce	gravy
juice	gravy
gravy	sauce
sauce	juice
juice	dressing
saucy	with sauce
sawed	saw
say it	say so
say	say so	tell	say to
tell to	tell
say	tell
["it is" "told that"]	["it is" "said that"]
["it was" "told that"]	["it was" "said that"]
am told to be	am said to be
are told to be	are said to be
tell so	say so
tell it	say so
said you so	told you so
said you it	told you so
scald	burn
scald myself	burn myself
scald ourselves	burn ourselves
scald yourself	burn yourself
scald yourselves	burn yourselves
scald itself	burn itself
scald herself	burn herself
scald himself	burn himself
scald themselves	burn themselves
scale	ladder
scene	scenery
view	scenery
spectacle	view
scenery	view
scene	stage
scheme	diagram
scholastic	fussy	pedantic
scientist	man of letters
search	search for	seek
search for	search	seek
secret	mystery
mystic	mystery	secret
mysterious	secret
mystic	secret
["see" "to"]	see
see again	["look at" "again"]
["do" "sense"]	["make" "sense"]
sensible	sore
sentence	proposal
verdict	proposal
sentiment	feeling
sentimental	emotive
serious	trustworthy
service	tip
["several" "money"]	["a lot of" "money"]
sewed	sowed
sewn	sown
sowed	sewed
sown	sewn
["make" "sewing"]	["do" "sewing"]
["sewing" "make"]	["sewing" "do"]
do a shampoo	have a shampoo
shampoo done	shampoo had
make a shampoo	have a shampoo
shampoo made	shampoo had
shampoo	have a shampoo
shampooed	shampoo had
shape	form
["do" "shave"]	["have" "shave"]
["make" "shave"]	["have" "shave"]
ship	boat
liner	ship
boat	ship
shock	crash	get a real shock
shock myself	get a real shock
shock ourselves	get a real shock
shock yourself	get a real shock
shock yourselves	get a real shock
shock itself	get a real shock
shock herself	get a real shock
shock himself	get a real shock
shock themselves	get a real shock
["do" "shock"]	["give" "shock"]
["make" "shock"]	["give" "shock"]
shocking	dirty story
["go for" "shopping"]	["go" "shopping"]
["go for" "shop"]	["go" "shopping"]
["make" "shopping"]	["do" "shopping"]
short	brief	shortly
shortly	in brief
["in" "short"]	["in" "brief"]
shortly	in short
["in" "brief"]	["in" "short"]
should to	should
show up	show
appear	show
show	point to
["show" "to"]	["point" "to"]
["point" "to"]	["point" "at"]
show	point at
["show" "to"]	["point" "at"]
["point" "at"]	["point" "to"]
show	point to
["show" "to"]	["point" "to"]
["point" "to"]	show
["embarrassed" "of"]	["ashamed" "of"]
["embarrassed" "about"]	["ashamed" "about"]
["shy" "of"]	["ashamed" "of"]
["shy" "about"]	["ashamed" "about"]
["shameful" "of"]	["ashamed" "of"]
["shameful" "about"]	["ashamed" "about"]
ashamed	shameful
shy	shameful
embarrassed	shameful
ashamed	shy
shameful	shy
["shameful" "of"]	["shy" "of"]
["ashamed" "of"]	["shy" "of"]
shy	embarrassed
on the other side	on the other hand
from the other end	on the other hand
sideways	at the side
sight	view
spectacle	view
view	sight
spectacle	sight	uproar
view	spectacle	sight
signify	mean
silken	silky
speak silly	speak in a silly way
simple	ordinary
ordinary	plain
plain	simple	ordinary
simple	stupid	dull
stupid	dull
simple	dim
stupid	dim	simple
dull	simple
since	for
for sale	since
from the other end	since
["since" "to"]	["from" "to"]
["since" "till"]	["from" "till"]
since	from
own	single
only room	single room
own room	single room	my own room	our own room	your own room	its own room	her own room	his own room	their own room
sit myself	sit down	take a seat
sit ourselves	sit down	take a seat
sit yourself	sit down	take a seat
sit yourselves	sit down	take a seat
sit itself	sit down	take a seat
sit herself	sit down	take a seat
sit himself	sit down	take a seat
sit themselves	sit down	take a seat
sit me	sit down	take a seat
sit us	sit down	take a seat
sit you	sit down	take a seat
sit it	sit down	take a seat
sit her	sit down	take a seat
sit him	sit down	take a seat
sit them	sit down	take a seat
sit	sit down	take a seat
sit down	sit
situation	condition
position	condition
state	condition
situation	condition	state
position	condition	state
["'re in" "condition"]	["'re in" "state"]
["are in" "condition"]	["are in" "state"]
condition	situation	position
situation	position
condition	position
leather	flesh
hide	flesh
skin	rind
peel	rind
rind	skin
peel	skin
peeling	shelling
["go" "to sleep"]	["go" "to bed"]
["go" "for sleep"]	["go" "to bed"]
["fall" "to sleep"]	["go" "to bed"]
["go" "asleep"]	["go" "to sleep"]
["do" "sleep"]	["have" "sleep"]
["make" "sleep"]	["have" "sleep"]
["go" "slow"]	["am" "slow"]	["are" "slow"]
["go" "fast"]	["am" "fast"]	["are" "fast"]
slow	slowly
small	narrow
be smelling	smell bad	smell badly
["smell" "from"]	["smell" "of"]
["smell" "with"]	["smell" "of"]
["smell" "to"]	smell
smoking	dinner jacket
snob	elegant	smart	chic
like so	like this	like that
so	such
such kind of	such
such much	so much
such many	so many
this	so
so-and-so	so-so
so as not to	not to
in order not to	not to
to not	so as not to	in order not to
for to not	so as not to	in order not to
to don't	so as not to	in order not to
not to	so as not to	in order not to
soap	some soap	bar of soap
soften	go soft	get soft
get soft	soften
soft	tender
hard	tough
tender	soften
["solution" "for"]	["solution" "to"]
["n't" "some"]	["n't" "any"]
sometime	sometimes	some times
sometimes	some time	sometime
make something	do something
["something" "make"]	["something" "do"]
do anything	make anything
["anything" "do"]	["anything" "make"]
anywhere	somewhere
sort	good	appliance
type	sort
sour	go sour	turn sour	["make" "sour"]
speak silly	talk
["speak" "for"]	["speak" "of"]	["speak" "about"]
["speak" "on"]	["speak" "of"]	["speak" "about"]
speak	speak to	speak with
speck	spot	mark
mark	spot
spot of dust	speck of dust
mark of dust	speck of dust
spectators	audience	viewer
audience	spectators
["do" "speech"]	["give" "speech"]	["make" "speech"]
["speech" "do"]	["speech" "give"]	["speech" "make"]
["do" "talk"]	["give" "talk"]
["talk" "do"]	["talk" "give"]
["make" "talk"]	["give" "talk"]
["talk" "make"]	["talk" "give"]
talk	speech
["have" "speech"]	["have" "chat"]	["have" "talk"]
["speech" "have"]	["chat" "have"]	["talk" "have"]
["make" "chat"]	["have" "chat"]
["chat" "make"]	["chat" "have"]
["make" "talk"]	["have" "talk"]
["talk" "make"]	["talk" "have"]
["do" "chat"]	["have" "chat"]
["chat" "do"]	["chat" "have"]
["do" "talk"]	["have" "talk"]
["talk" "do"]	["talk" "have"]
spend	offer	buy
spirit	ghost
soul	ghost
spiritual	witty
intellectual	witty
spiritual	intellectual
witty	intellectual
spit	kebab
["make" "sport"]	["do" "sport"]	["play" "sport"]
["sport" "make"]	["sport" "do"]	["sport" "play"]
sportive	sporty	fond of sport	sporting
sporty	sporting
stadium	stage
stage	floor
stark	strong
["do" "start"]	["make" "start"]
["start" "make"]	["start" "do"]
land	county	state	province
steer	drive
pilot	drive
drive	steer	pilot	fly
steer	pilot	fly
still	style
mix	stir
stocking	sock
tights	socks
have my stomach	have stomach-ache
have our stomach	have stomach-ache
have your stomach	have stomach-ache
have its stomach	have stomach-ache
have her stomach	have stomach-ache
have his stomach	have stomach-ache
have their stomach	have stomach-ache
've got my stomach	have stomach-ache
've got our stomach	have stomach-ache
've got your stomach	have stomach-ache
've got its stomach	have stomach-ache
've got her stomach	have stomach-ache
've got his stomach	have stomach-ache
've got their stomach	have stomach-ache
do stomach-ache	have stomach-ache
make stomach-ache	have stomach-ache
["do" "stop"]	["make" "stop"]
["stop" "do"]	["stop" "make"]
do stop	hitch lifts	hitchhike
do autostop	hitch lifts	hitchhike
stop	hitch lifts	hitchhike	hitching	hitchhiking
straightly	straight
strange	curious	foreign
curious	foreign
strangeness	curiosity
stranger	foreigner
guest	foreigner
alien	foreigner
stranger	guest
foreigner	guest
alien	guest
street	road
streetwalker	pedestrian
walker	pedestrian
strengthen	get stronger
stretch	spread
extend	spread
spread	stretch	extend
do strike	strike
make strike	strike
["do" "strike"]	["be" "on strike"]	["be on" "strike"]
["make" "strike"]	["be" "on strike"]	["be on" "strike"]
strong smoking	heavy smoking
strong drinking	hard drinking	heavy drinking
["heavy" "winter"]	["hard" "winter"]
["strong" "winter"]	["hard" "winter"]
going strongly	going strong
strophe	verse
stuff	fabric	material
substance	fabric	material
matter	fabric	material	stuff
material	stuff
substance	stuff
filled	stuffed
suck	lick
suffer	allow
support	allow
sugar	spoonful of sugar
suggest to	suggest I	suggest I should	suggest we	suggest we should	suggest you	suggest you should	suggest it	suggest it should	suggest she	suggest she should	suggest he	suggest he should	suggest they	suggest they should
suggestive	inspiring	imaginative
supplement	complete
complement	complete
complete	supplement
support	endure
put up with	endure
stand	endure
support	put up with	stand
suppose	suppose so
suppose it	suppose so
sure	safe
secure	safe
sure	secure
safe	secure
sure	safe	secure
safe	sure
secure	sure
surely	sure
["sure" "for"]	["sure" "of"]
["sure" "from"]	["sure" "of"]
operations room	operating theatre
["do" "surprise"]	["give" "surprise"]
["surprise" "do"]	["surprise" "give"]
I surprise	it surprises me
["I" "surprise"]	["it" "surprise me"]
I surprised	it surprised me
["I" "surprise"]	["it's" "surprise to me"]	["it is" "surprising"]	["it's" "surprising"]
["I" "surprised"]	["it was" "surprising"]	["it was" "surprising"]
["do I" "surprise"]	["is it" "surprising"]
we surprise	it surprises us
["we" "surprise"]	["it" "surprise us"]
we surprised	it surprised us
