abandon	abolish
not proportion about	small in proportion to
propose me to	suggest that I
propose us to	suggest that we
propose you to	suggest that you
propose it to	suggest that it
propose her to	suggest that she
propose him to	suggest that he
propose them to	suggest that they
propose	offer me a refund of
["prospect" "for"]	["prospect" "of"]
provide	["provide" "with"]
["provide" "to"]	["provide" "for"]
provide	provide for
publicity	advertising
["strict" "punishment"]	["severe" "punishment"]	["harsh" "punishment"]
["punishment" "strict"]	["punishment" "severe"]	["punishment" "harsh"]
["strong" "punishment"]	["severe" "punishment"]	["harsh" "punishment"]
["punishment" "strong"]	["punishment" "severe"]	["punishment" "harsh"]
["pure" "air"]	["fresh" "air"]
["air" "pure"]	["air" "fresh"]
["pure" "water"]	["fresh" "water"]	["drinking" "water"]
["water" "pure"]	["water" "fresh"]
purpose	reason
["purpose" "of"]	["reason" "for"]
["put" "off"]	["take" "off"]
quarrel	argue
quicker	more quickly
go quickly	run
quite	rather	slightly	somewhat	a bit	a little
quite much	quite a lot	quite a lot of
["in" "radio"]	["on" "radio"]
["in" "television"]	["on" "television"]
be heavy rain	rain heavily
["it was" "rain"]	["there was" "rain"]
["it" "pour rain"]	["it" "pour with rain"]
["sky" "pour heavily"]	["it" "pour with rain"]
rainfall	rain
["there" "was no rainfall"]	["it" "didn't rain"]
rainy	wet
raise	grow
["raise" "up"]	raise
raise	rise
high rank	senior position
rapid	fast
rapidly	quickly
rare	scarce	unusual
rather	quite	prefer	'd rather	prefer to	wourd rather	would prefer
["rather prefer" "to"]	rather
rather prefer	prefer
["would" "rather to"]	["would" "rather"]
realize	understand	know	recognize	["carry" "out"]	practise	practice
really	actually
["reason" "for"]	["cause" "of"]
["reason" "of"]	["reason" "for"]
reason because	reason why
reason because	why	reason why
["by" "reason"]	["for" "reason"]
reasonable	rational
recall	["remind" "of"]
recent	last
["recent" "years"]	["in" "recent years"]
recognize	realize
recommend to	recommend that you
["in" "reference to"]	["with" "reference to"]
refrain	refrain from
refuse	reject
["regard" "to"]	["regard" "for"]
regarding to	regarding
regardless	regardless of
["related" "with"]	["related" "to"]
deeply related	closely related
relation	relationship
["rely" "on"]	["depend" "on"]
remark	notice
remind	remember	["remind" "of"]
rent	hire
repeat again	repeat
["replace" "by"]	["replace" "with"]
reply	reply to
reply to me	reply
reply to us	rely
reply to you	reply
reply to it	reply
reply to her	reply
reply to him	reply
reply to them	reply
request for	request
research of	research into
["make" "research"]	["do" "research"]
["research" "make"]	["research" "do"]
can't resist	can't stand
resist to	resist
resist against	resist
resource	source
respect to	respect
respectful	respectable
["responsible" "for"]	["responsible" "for"]
result	effect
retire	resign
return back	return
revenge	avenge	get my avenge	get our avenge	get your avenge	get its avenge	get her avenge	get his avenge	get their avenge	take revenge
richness	wealth
["right" "of"]	["right" "to"]
ring to	ring
rise	raise
rob	steal
roof	ceiling
row	queue
["rude" "with"]	["rude" "to"]
run	move	travel	go
's	[""]
sack	bag
safety	safe
["for" "sake"]	["for" "'s sake"]
salary	pay	wage
sale	sell
["on" "sale"]	["in" "sale"]
salute	welcome
["same" "with"]	["same" "as"]
["same" "like"]	["same" "as"]
["same" "than"]	["same" "as"]
as same as	the same as	like	just like
satisfactory	satisfying
satisfied	satisfactory
["satisfied" "of"]	["satisfied" "with"]
["satisfied" "from"]	["satisfied" "with"]
satisfying	satisfactory
save	safe
["say" "to"]	["tell" "to"]
say	tell
["say" "about"]	["talk" "about"]
scarcely	rarely
scene	view	scenery
["in" "school"]	["at" "school"]
scissors	some scissors
search	search for
["search" "for"]	["look" "for"]
seek	["look" "for"]
seat	sit
see	watch
see by myself	see for myself
see by ourselves	see for ourselves
see by yourself	see for yourself
see by itself	see for itself
see by herself	see for herself
see by himself	see for himself
see by themselves	see for themselves
seek	look for
seek for	seek
seem to be	seem	seem like
send	take
send to	send
sensibility	sensitivity
sensible	sensitive
separate	divide
several	a few
severe	strict
shame	embarrassed
["shoot" "to death"]	["shoot" "dead"]
["shoot" "gun"]	["fire" "gun"]
["gun" "shoot"]	["gun" "fire"]
["go for" "shopping"]	["go" "shopping"]
["shopping" "go for"]	["shopping" "go"]
["go to" "shopping"]	["go" "shopping"]
["shopping" "go to"]	["shopping" "go"]
shortly	briefly
["shout" "to"]	["shout" "at"]
on the other side	on the other hand
in the other side of	on the other side of
sightseeing	seeing	visiting
go for sightseeing	go sightseeing
["take" "for sightseeing"]	["take" "sightseeing"]
go to do sightseeing	go sightseeing	go to do sightseeing
visit	see
sightseeing place	sights	tourist attraction	tourist spot
sightseeing spot	sights	tourist attraction	tourist spot
silent	quiet
since	for	over	during	from
sink	drown
["have" "size"]	["be" "size"]	["be" "take"]
skilful	talented
skillful	talented
sleep	go to bed
start sleeping	fall asleep	go back to sleep
feel the smell of	smell
["smile" "to"]	["smile" "at"]
snack	snack bar
so	very	such
so-called	what is called	what is known
social	sociable
["solution" "of"]	["solution" "to"]
some	any	a few
something	anything
someone	anyone
somebody	anybody
somewhere	anywhere
someone	anyone
something	anything
or something else	or something
or something like that	or something
somewhere	anywhere
in somewhere	somewhere
in anywhere	anywhere
at somewhere	somewhere
at anywhere	anywhere
to somewhere	somewhere
to anywhere	anywhere
["'re sorry" "for"]	["'re sorry" "about"]
["'re" "sorry for"]	["'re" "sorry about"]
sound	noise
speak	talk
speak in	speak
specially	especially
spectator	audience
["make" "speech"]	["give" "talk"]
["talk" "make"]	["talk" "give"]
["do" "speech"]	["give" "speech"]	["make" "speech"]
["speech" "do"]	["speech" "give"]	["speech" "make"]
at my fastest speed	as fast as I could	as fast as I can
at our fastest speed	as fast as we could	as fast as we can
at your fastest speed	as fast as you could	as fast as you can
at its fastest speed	as fast as it could	as fast as it can
at her fastest speed	as fast as she could	as fast as she can
at his fastest speed	as fast as he could	as fast as he can
at their fastest speed	as fast as they could	as fast as they can
["at" "rapid speed"]	["" "rapidly"]
["with" "speed"]	["at" "speed"]
["in" "speed"]	["at" "speed"]
at a very fast speed	at top speed
["spend" "for"]	["spend" "on"]	spend
["spend" "on"]	spend
in spite of	regardless of
["in spite" "of"]	["instead" "of"]
["make" "sport"]	["do" "sport"]
["sport" "make"]	["sport" "do"]
spread out	spread
squeeze	squash
stay	spend
steal	rob	steal from
stimulant	stimulus
stop from	stop
storey	floor
strange people	stranger
I felt	everything seemed
["strange" "for"]	["strange" "to"]
stranger	foreigner
strongly	tightly
["student" "of"]	["student" "at"]
["study" "in"]	["study" "at"]
style of life	lifestyle
living style	lifestyle
subconscious	unconscious
["subject" "about"]	subject
suffer	tolerate
["suggest" "to"]	suggest that
suit to	suit
["suitable" "to"]	["suited" "to"]
suitable to be eaten	fit to eat
["superior" "than"]	["superior" "to"]
supply	["supply" "with"]
support	tolerate	put up with	stand
suffer	tolerate	put up with	stand
surely	definitely
will be surely	be bound to be
surely	naturally
surprised	shocked
["surprised" "about"]	["surprised" "at"]	["surprised" "by"]
["surprised" "for"]	["surprised" "at"]	["surprised" "by"]
["surprised" "of"]	["surprised" "at"]	["surprised" "by"]
["suspect" "as"]	["suspect" "of"]
suspicious	sceptical	skeptical
sympathetic	likeable	likable
take	bring
talk	speak	tell	talk to
["talk" "with"]	["talk" "to"]
tall	high
taste	try
["be of" "bad taste"]	["be in" "bad taste"]
["be of" "worst taste"]	["be in" "worst taste"]
["be of" "good taste"]	["be in" "good taste"]
["be of" "better taste"]	["be in" "better taste"]
["be of" "best taste"]	["be in" "best taste"]
["be of" "poor taste"]	["be in" "poor taste"]
tasteful	tasty
go with a taxi	go by taxi	go in a taxi
burst in tears	burst into tears
technique	technology	technical
high technology	advanced technology
["technology" "high"]	["technology" "advanced"]
["in" "television"]	["on" "television"]
["tell" "about"]	["be" "about"]
tell	say
["tell" "about"]	["talk" "about"]
["have a tendency" "to"]	["tend" "to"]
very terrible	terrible	absolutely terrible
["make" "test"]	["take" "test"]
["test" "make"]	["test" "take"]
text	article
I thank you	I'd like to thank you	I would like to thank you	I should like to thank you
thank you in advance for your help	[""]
thankful	grateful
thanks	thank you
do that	do so
then	[""]
is	there's
to there	there
therefore	so
thing	[""]
["any" "thing"]	anything
many things	a lot	a great deal
["I was thinking" "if"]	["I was wondering" "if"]
think	think about
["think" "on"]	["think" "about"]	["think" "of"]
["think" "deeply"]	["think" "seriously"]	["think" "carefully"]
on this	this
thought	opinion	belief
["throw" "to"]	["throw" "at"]
throw	["throw" "on the ground"]
thus	so
till	as far as
["in" "time"]	["at" "time"]
last time	many years ago
["not take" "long time"]	["not take" "long"]
["n't take" "long time"]	["n't take" "long"]
["every" "time"]	["all" "time"]
["spend" "time"]	["pass" "time"]
["time" "spend"]	["time" "pass"]
["spend" "good time"]	["have" "good time"]
["good time" "spend"]	["good time" "have"]
spend a marvellous time	have a marvellous time
many times	very often
timetable	schedule
title	headline
titled	called	entitled
to	towards	toward	up to	across to
["near" "to"]	["up" "to"]	["across" "to"]
toast	some toast
too	very	either
also	either
as well	too
too many	a lot of
too much	too
["on" "top of"]	["at" "top of"]
["on" "bottom of"]	["at" "bottom of"]
touch	affect
["get in" "touch with"]	["come into" "contact with"]
["make" "training"]	["do" "training"]
["translate" "to"]	["translate" "into"]
travel	journey
tremble	shiver
trouble	nuisance
["become" "true"]	["come" "true"]
trust in	trust
["say" "truth"]	["tell" "truth"]
["truth" "say"]	["truth" "tell"]
["turn" "back"]	["turn" "round"]	["turn" "around"]
turn up	turn out
["in" "TV"]	["on" "TV"]
typical	customary
under	below
understand about	understand
["understand" "deeply"]	["understand" "properly"]	["understand" "better"]	really understand	fully understand
uniform	costume
unique	unusual
unknown	unfamiliar
until	to	all the way to	up to	by
until now	so far	to this day	yet
up-to-date	latest
use to	[""]	usually
it's no use	there's no point in
["there's" "no use"]	["it's" "no use"]
there's no use	there's no point
their useless things	the things they don't use
useless for	of no use to
useless	["" "that are of no use"]	["" "that is of no use"]
useless	unnecessary
usual	ordinary
utterly	sincerely	completely
in vain	without success	it was all in vain	to no avail
valuable	expensive
valuable things	valuables
very valuable for money	good value
["be" "value"]	["be" "good value"]
["very" "that"]	["so" "that"]
very boiling	boiling	absolutely boiling
very convinced	convinced	absolutely convinced
very exhausted	exhausted	absolutely exhausted
very huge	huge	absolutely huge
very terrible	terrible	absolutely terrible
extremely boiling	boiling	absolutely boiling
extremely convinced	convinced	absolutely convinced
extremely exhausted	exhausted	absolutely exhausted
extremely huge	huge	absolutely huge
extremely terrible	terrible	absolutely terrible
very	greatly	very much
very much	a lot
["cost" "very much"]	["cost" "a lot of money"]
view	sight
["see" "view"]	["look at" "view"]	["admire" "view"]	["enjoy" "view"]
["view" "see"]	["view" "look at"]	["view" "admire"]	["view" "enjoy"]
["watch" "view"]	["look at" "view"]	["admire" "view"]	["enjoy" "view"]
["view" "watch"]	["view" "look at"]	["view" "admire"]	["view" "enjoy"]
["see" "view"]	["have" "view"]	["get" "view"]
["view" "see"]	["view" "have"]	["view" "get"]
vision	view
visit	go to	come to see	go to see
["pay" "visit"]	come to see	go to see
visit	go to
visit to	visit
vocabulary	word
["with" "voice"]	["in" "voice"]
voice out	voice
voluntary	voluntary helper	volunteer
vote	elect	election	vote for	vote on
voyage	trip	journey
wage	salary
wait	expect
wait for	expect
're waiting	can't wait
wanna	want to
want that I should	want me to
want that we should	want us to
want that you should	want you to
want that it should	want it to
want that she should	want her to
want that he should	want him to
want that they should	want them to
want I	want me to
want we	want us to
want you	want you to
want it	want it to
want she	want her to
want he	want him to
want they	want them to
["want" "to"]	["would like" "to"]	["'d like" "to"]
wash my body	have a bath	have a shower
wash our body	have a bath	have a shower
wash your bodies	have a bath	have a shower
wash its body	have a bath	have a shower
wash her body	have a bath	have a shower
wash his body	have a bath	have a shower
wash their body	have a bath	have a shower
wash	have a wash
["describe" "way how"]	["describe" "how"]
["explain" "way how"]	["explain" "how"]
["examine" "way how"]	["examine" "how"]
way of living	way of life
wear	["put" "on"]
week	-week
["on" "weekend"]	["at" "weekend"]
["during" "weekend"]	["at" "weekend"]
well	fine	good
completely wet	soaked
while	during
as a whole	on the whole
["wide" "view"]	["broad" "view"]
["view" "wide"]	["view" "broad"]
["wide" "picture"]	["broad" "picture"]
["picture" "wide"]	["picture" "broad"]
["wide" "description"]	["broad" "description"]
description wide	description broad
["wide" "outline"]	["broad" "outline"]
["outline" "wide"]	["outline" "broad"]
["if" "will"]	["if" "be to"]
win	beat
wish	hope	'd like
with	by
within	in
["go" "to my work"]	["go" "to work"]
["go" "to our work"]	["go" "to work"]
["go" "to your work"]	["go" "to work"]
["go" "to its work"]	["go" "to work"]
["go" "to her work"]	["go" "to work"]
["go" "to his work"]	["go" "to work"]
["go" "to their work"]	["go" "to work"]
go to work outside	go out to work
["work" "at"]	["work" "for"]
["work" "in"]	["work" "for"]
["all over" "world"]	["in" "world"]
["of" "world"]	["in" "world"]
["all of" "world"]	["all over" "world"]
worth	value
["be" "worthwhile"]	["be" "worth"]
["'re" "worthy"]	["'re" "worth"]
["be" "worthy"]	["be" "worth"]
wound	injure	hurt
wrapping	packaging
wrong	mistaken
year	[""]	["year" "old"]	["year" "of age"]
["of" "year"]	of no use to
yearly	every year
yet	still
yours faithfully	yours	with love	with best wishes
yours	yours faithfully
youth	young person	young people
